"invariant_id","family","statement","status"
"F2-CONF-001","CONFLICT","Conflict is distinct from indeterminacy.","LOCKED"
"F2-CONF-002","CONFLICT","Conflict does not imply partial effect.","LOCKED"
"F2-CONF-003","CONFLICT","Partial effect does not imply conflict.","LOCKED"
"F2-CONF-004","CONFLICT","Conflict does not imply fork.","LOCKED"
"F2-CONF-005","CONFLICT","Resolved conflict remains historically evidenced.","LOCKED"
"F2-FORK-001","FORK","Fork is a structured divergence in recognized state or history.","LOCKED"
"F2-FORK-002","FORK","Fork does not imply invalidity.","LOCKED"
"F2-FORK-003","FORK","Canonicality requires an explicit governing rule.","LOCKED"
"F2-FORK-004","FORK","Canonical branch selection does not erase noncanonical history.","LOCKED"
"F2-OBS-001","OBSERVATION","Observation does not imply occurrence.","LOCKED"
"F2-OBS-002","OBSERVATION","Observation conflict does not imply effect conflict.","LOCKED"
"F2-OBS-003","OBSERVATION","Stale does not mean false.","LOCKED"
"F2-REC-001","RECONCILIATION","Reconciliation does not itself mutate financial state.","LOCKED"
"F2-REC-002","RECONCILIATION","Reconciliation does not create repair authority.","LOCKED"
"F2-REC-003","RECONCILIATION","Consensus does not imply reconciliation.","LOCKED"
"F2-REC-004","RECONCILIATION","Majority observation does not imply reconciliation.","LOCKED"
"F2-REC-005","RECONCILIATION","Reconciled does not imply restored.","LOCKED"
"F2-REC-006","RECONCILIATION","Reconciled does not imply settlement finality.","LOCKED"
"F2-REC-007","RECONCILIATION","Reconciled does not imply continuity preservation.","LOCKED"
"F2-REC-008","RECONCILIATION","Economic branch convergence does not imply historical identity.","LOCKED"
"F2-SEP-006","SEPARATION","Conflict != Fork != Reconciliation != Restoration != Finality != ContinuityPreserved.","LOCKED"
