"id","antecedent","consequent","status"
"F2-ADM-NI-001","AgreementComplete","Admissible_d","LOCKED"
"F2-ADM-NI-002","CommitmentComplete","Admissible_d","LOCKED"
"F2-ADM-NI-003","Consensus","Admissible_d","LOCKED"
"F2-ADM-NI-004","AuthorityComplete","Admissible_d","LOCKED"
"F2-ADM-NI-005","Admissible_d","Executed","LOCKED"
"F2-ADM-NI-006","Admissible_d","SettlementFinal","LOCKED"
"F2-LEG-NI-001","LegAdmissible","EffectOccurred","LOCKED"
"F2-LEG-NI-002","Consensus","ExecuteLeg","LOCKED"
"F2-LEG-NI-003","LegCompletion","AtomicSettlement","LOCKED"
"F2-LEG-NI-004","MultiLegCompletion","SettlementFinal","LOCKED"
"F2-LEG-NI-005","Dependency","AuthorityInheritance","LOCKED"
"F2-LEG-NI-006","LegFailure","RepairAuthority","LOCKED"
