"symbol","object","owner","pass"
"Agree(a,q,phi,t)","AgreementPredicate","F2","FIN-F2-03"
"G(q,phi,t)","AgreementSet","F2","FIN-F2-03"
"AgreementComplete(q,phi,t)","AgreementCompleteness","F2","FIN-F2-03"
"AgreementConflict(q,phi,t)","AgreementConflict","F2","FIN-F2-03"
"Committed(a,q,o,t)","CommitmentPredicate","F2","FIN-F2-03"
"CommitmentValid(c,t)","CommitmentValidity","F2","FIN-F2-03"
"K(q,t)","CommitmentSet","F2","FIN-F2-03"
"K_req(q,t)","RequiredCommitmentSet","F2","FIN-F2-03"
"CommitmentComplete(q,t)","CommitmentCompleteness","F2","FIN-F2-03"
"CP(q)","ConsensusProfile","F2","FIN-F2-03"
"ConsensusObservation(a,q,phi,v,t)","ConsensusObservation","F2","FIN-F2-03"
"Consensus(q,phi,t|CP)","ConsensusPredicate","F2","FIN-F2-03"
"ConsensusResult(q,phi,t)","ConsensusClassification","F2","FIN-F2-03"
