"id","antecedent","consequent","status"
"F2-AGR-NI-001","AgreementComplete","Consensus","LOCKED"
"F2-AGR-NI-002","AgreementComplete","AuthorityComplete","LOCKED"
"F2-AGR-NI-003","AgreementComplete","Admissible","LOCKED"
"F2-AGR-NI-004","AgreementComplete","Executed","LOCKED"
"F2-AGR-NI-005","AgreementComplete","SettlementFinal","LOCKED"
"F2-COM-NI-001","CommitmentComplete","AuthorityComplete","LOCKED"
"F2-COM-NI-002","CommitmentComplete","Consensus","LOCKED"
"F2-COM-NI-003","CommitmentComplete","Admissible","LOCKED"
"F2-COM-NI-004","CommitmentComplete","Executed","LOCKED"
"F2-COM-NI-005","CommitmentComplete","SettlementFinal","LOCKED"
"F2-CON-NI-001","Consensus","AuthorityComplete","LOCKED"
"F2-CON-NI-002","Consensus","Admissible","LOCKED"
"F2-CON-NI-003","Consensus","Executed","LOCKED"
"F2-CON-NI-004","Consensus","SettlementFinal","LOCKED"
"F2-CON-NI-005","AuthorityComplete","Consensus","LOCKED"
