"id","antecedent","consequent","status"
"F2-CONF-NI-001","Conflict","PartialEffect","LOCKED"
"F2-CONF-NI-002","PartialEffect","Conflict","LOCKED"
"F2-CONF-NI-003","Conflict","Fork","LOCKED"
"F2-CONF-NI-004","Fork","Invalidity","LOCKED"
"F2-CONF-NI-005","Fork","ConsensusFailure","LOCKED"
"F2-CONF-NI-006","MajorityObservation","Reconciled","LOCKED"
"F2-CONF-NI-007","Consensus","Reconciled","LOCKED"
"F2-CONF-NI-008","LargestBranch","CanonicalBranch","LOCKED"
"F2-CONF-NI-009","NewestBranch","CanonicalBranch","LOCKED"
"F2-CONF-NI-010","EconomicBranchConvergence","HistoricalIdentity","LOCKED"
"F2-CONF-NI-011","Reconciled","SettlementFinal","LOCKED"
"F2-CONF-NI-012","Reconciled","ContinuityPreserved","LOCKED"
"F2-CONF-NI-013","ResolvedConflict","HistoricallyUnconflicted","LOCKED"
"F2-CONF-NI-014","ObservationConflict","EffectConflict","LOCKED"
"F2-CONF-NI-015","Reconciliation","RepairAuthority","LOCKED"
