"invariant_id","family","statement","status"
"F2-FIN-001","FINALITY","Settlement finality is profile-relative and domain-relative.","LOCKED"
"F2-FIN-002","FINALITY","Consensus does not imply settlement finality.","LOCKED"
"F2-FIN-003","FINALITY","Authority completeness does not imply settlement finality.","LOCKED"
"F2-FIN-004","FINALITY","Distributed admissibility does not imply settlement finality.","LOCKED"
"F2-FIN-005","FINALITY","Execution does not imply settlement finality.","LOCKED"
"F2-FIN-006","FINALITY","Atomic completion does not imply settlement finality.","LOCKED"
"F2-FIN-007","FINALITY","Settlement finality does not imply irreversibility.","LOCKED"
"F2-FIN-008","FINALITY","Settlement finality does not imply continuity preservation.","LOCKED"
"F2-FIN-009","FINALITY","Local finality does not imply finality in another domain.","LOCKED"
"F2-FIN-010","FINALITY","Local finality does not imply cross-domain finality.","LOCKED"
"F2-FIN-011","FINALITY","Technical finality and legal finality are not equivalent.","LOCKED"
"F2-FIN-012","FINALITY","Ledger inclusion does not imply settlement finality.","LOCKED"
"F2-FIN-013","FINALITY","Indeterminate finality cannot be promoted to FINAL.","LOCKED"
"F2-FIN-014","FINALITY","Later reversal does not erase historical finality status.","LOCKED"
"F2-FIN-015","FINALITY","Cross-domain finality requires every required domain and cross-domain consistency condition.","LOCKED"
"F2-SEP-005","SEPARATION","AtomicComplete != SettlementFinal != Irreversible != ContinuityPreserved.","LOCKED"
