"invariant_id","family","statement","status"
"F2-PART-001","PARTICIPANT","Participant membership does not imply authority.","LOCKED"
"F2-PART-002","PARTICIPANT","Required participation does not imply authority.","LOCKED"
"F2-PART-003","PARTICIPANT","Role assignment does not imply authority assignment.","LOCKED"
"F2-AUTH-001","AUTHORITY","Authority is relational to proposal, action, scope, and time.","LOCKED"
"F2-AUTH-002","AUTHORITY","Authority completeness requires satisfaction of every applicable required authority requirement.","LOCKED"
"F2-AUTH-003","AUTHORITY","Consensus cannot manufacture authority.","LOCKED"
"F2-AUTH-004","AUTHORITY","Quorum cannot manufacture authority.","LOCKED"
"F2-AUTH-005","AUTHORITY","Signature validity cannot manufacture authority.","LOCKED"
"F2-AUTH-006","AUTHORITY","Key possession cannot manufacture authority.","LOCKED"
"F2-AUTH-007","AUTHORITY","Delegated authority cannot exceed upstream authority.","LOCKED"
"F2-AUTH-008","AUTHORITY","Expired or stale authority cannot satisfy a current requirement.","LOCKED"
"F2-AUTH-009","AUTHORITY","Authority conflict cannot be resolved solely by majority, consensus, validator count, execution order, or possession.","LOCKED"
"F2-AUTH-010","AUTHORITY","Authority completeness does not imply admissibility.","LOCKED"
"F2-SEP-001","SEPARATION","ParticipationComplete != AuthorityComplete != Agreement != Consensus != Admissible != Executed != Final.","LOCKED"
