"symbol","object","owner","pass"
"A","ActorUniverse","F2","FIN-F2-02"
"P(q,t)","ParticipantSet","F2","FIN-F2-02"
"P_req(q,t)","RequiredParticipantSet","F2","FIN-F2-02"
"Role(a,r,t)","RoleAssignment","F2","FIN-F2-02"
"IdentityValid(a,t)","ParticipantIdentityValidity","F2","FIN-F2-02"
"ParticipationComplete(q,t)","ParticipationCompleteness","F2","FIN-F2-02"
"Authority(a,q,x,s,t)","RelationalAuthority","INHERITED+F2-DISTRIBUTED-SPECIALIZATION","FIN-F2-02"
"AR(q,t)","AuthorityRequirementSet","F2","FIN-F2-02"
"Satisfied(rho,q,t)","AuthorityRequirementSatisfaction","F2","FIN-F2-02"
"A_valid(q,t)","ValidDistributedAuthoritySet","F2","FIN-F2-02"
"AuthorityComplete(q,t)","DistributedAuthorityCompleteness","F2","FIN-F2-02"
"CompositeAuthority(q,t)","MultipartyAuthorityComposition","F2","FIN-F2-02"
"AuthorityConflict(q,t)","DistributedAuthorityConflict","F2","FIN-F2-02"
