"symbol","object","owner","pass"
"Conflict(q_d,t)","DistributedConflictPredicate","F2","FIN-F2-07"
"ConflictClass(q_d,t)","ConflictClassification","F2","FIN-F2-07"
"Fork(q_d,t)","DistributedForkPredicate","F2","FIN-F2-07"
"B_i","DistributedStateBranch","F2","FIN-F2-07"
"CanonicalBranch(q_d,t|GR)","RuleRelativeCanonicalBranch","F2","FIN-F2-07"
"Observe(a,q_d,o,v,t)","DistributedObservation","F2","FIN-F2-07"
"O(q_d,o,t)","ObservationSet","F2","FIN-F2-07"
"ObservationConflict(q_d,o,t)","ObservationConflictPredicate","F2","FIN-F2-07"
"R_in(q_d,t)","ReconciliationInputSet","F2","FIN-F2-07"
"R_d(q_d,t|GR)","DistributedReconciliationOperator","F2-SPECIALIZATION-OF-F1","FIN-F2-07"
"ReconciliationResult(q_d,t)","DistributedReconciliationClassification","F2","FIN-F2-07"
