"proof_id","invariant_id","component_id","relation","status"
"FIN-PO-001","FIN-OBJ-001","FI-CORE-001","PRESERVE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-001","FIN-OBJ-001","FI-AST-001","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-002","FIN-OBJ-002","FI-CORE-001","PRESERVE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-002","FIN-OBJ-002","FI-AST-001","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-003","FIN-OBJ-003","FI-CORE-001","PRESERVE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-003","FIN-OBJ-003","FI-AST-001","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-004","FIN-OBJ-004","FI-CORE-001","PRESERVE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-004","FIN-OBJ-004","FI-AST-001","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-005","FIN-AUTH-001","FI-CORE-002","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-005","FIN-AUTH-001","FI-AST-001","PRESERVE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-006","FIN-AUTH-002","FI-CORE-002","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-006","FIN-AUTH-002","FI-AST-001","PRESERVE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-007","FIN-AUTH-003","FI-CORE-002","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-007","FIN-AUTH-003","FI-AST-001","PRESERVE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-008","FIN-AUTH-004","FI-CORE-002","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-008","FIN-AUTH-004","FI-AST-001","PRESERVE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-009","FIN-ADM-001","FI-CORE-003","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-009","FIN-ADM-001","FI-PRG-001","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-010","FIN-ADM-002","FI-CORE-003","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-010","FIN-ADM-002","FI-PRG-001","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-011","FIN-ADM-003","FI-CORE-003","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-011","FIN-ADM-003","FI-PRG-001","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-012","FIN-ADM-004","FI-CORE-003","ENFORCE","ASSIGNED-NOT-DISCHARGED"
"FIN-PO-012","FIN-ADM-004","FI-PRG-001","ENFORCE","ASSIGNED-NOT-DISCHARGED"
