"symbol","object","owner","pass"
"FP(q_d)","FinalityProfile","F2","FIN-F2-06"
"D_f","FinalityDomain","F2","FIN-F2-06"
"FR(q_d,FP,D_f,t)","FinalityRequirementSet","F2","FIN-F2-06"
"FinalitySatisfied(rho_f,q_d,t)","FinalityRequirementSatisfaction","F2","FIN-F2-06"
"SettlementFinal(q_d,t|FP,D_f)","SettlementFinalityPredicate","F2","FIN-F2-06"
"FinalityResult(q_d,t|FP,D_f)","SettlementFinalityClassification","F2","FIN-F2-06"
"LocalFinal(q_d,t,D_i)","DomainLocalFinality","F2","FIN-F2-06"
"D*","RequiredFinalityDomainSet","F2","FIN-F2-06"
"V_f(q_d,t)","DomainFinalityVector","F2","FIN-F2-06"
"CrossDomainFinal(q_d,t,D*)","CrossDomainFinalityPredicate","F2","FIN-F2-06"
