"symbol","object","owner","pass"
"q_d","DistributedSettlementProposal","F2","FIN-F2-04"
"Admissible_d(q_d,t)","DistributedAdmissibilityPredicate","F2","FIN-F2-04"
"AdmissibilityResult(q_d,t)","DistributedAdmissibilityResult","F2","FIN-F2-04"
"L(q_d)","ExecutionLegSet","F2","FIN-F2-04"
"l_i","ExecutionLeg","F2","FIN-F2-04"
"D(q_d)","ExecutionLegDependencyGraph","F2","FIN-F2-04"
"l_i <_q l_j","ExecutionOrderingConstraint","F2","FIN-F2-04"
"LegAdmissible(l_i,q_d,t)","LegSpecificAdmissibility","F2","FIN-F2-04"
"Execute(l_i,t)","ExecutionLegAttempt","F2","FIN-F2-04"
"T_d(q_d)","DistributedExecutionTrace","F2","FIN-F2-04"
"LegCompletionSet(q_d,t)","CompletedExecutionLegSet","F2","FIN-F2-04"
