"id","antecedent","consequent","status"
"F2-ATM-NI-001","AtomicIntent","AtomicComplete","LOCKED"
"F2-ATM-NI-002","Consensus","AtomicComplete","LOCKED"
"F2-ATM-NI-003","Admissible_d","AtomicComplete","LOCKED"
"F2-ATM-NI-004","AtomicComplete","SettlementFinal","LOCKED"
"F2-ATM-NI-005","AtomicComplete","ContinuityPreserved","LOCKED"
"F2-ATM-NI-006","EconomicEndpointEquivalent","HistoricallyAtomic","LOCKED"
"F2-ATM-NI-007","AtomicPartial","RepairAuthority","LOCKED"
"F2-ATM-NI-008","PartialDistributedSettlement","SettlementFinal","LOCKED"
"F2-ATM-NI-009","CompensationSuccess","OriginalExecutionAtomic","LOCKED"
"F2-ATM-NI-010","ReversalSuccess","OriginalPartialHistoryErased","LOCKED"
