"invariant_id","family","statement","status"
"F2-CONT-001","CONTINUITY","Distributed continuity inherits F1 continuity semantics and does not redefine them.","LOCKED"
"F2-CONT-002","CONTINUITY","Continuity is a property of the execution path, not merely the endpoint.","LOCKED"
"F2-CONT-003","CONTINUITY","Economic endpoint equivalence does not imply continuity preservation.","LOCKED"
"F2-CONT-004","CONTINUITY","Atomic completion does not imply continuity preservation.","LOCKED"
"F2-CONT-005","CONTINUITY","Settlement finality does not imply continuity preservation.","LOCKED"
"F2-CONT-006","CONTINUITY","Reconciliation does not imply continuity preservation.","LOCKED"
"F2-CONT-007","CONTINUITY","Compensation does not imply continuity preservation.","LOCKED"
"F2-CONT-008","CONTINUITY","Reversal does not imply continuity preservation.","LOCKED"
"F2-CONT-009","CONTINUITY","Canonical branch selection does not imply continuity preservation.","LOCKED"
"F2-CONT-010","CONTINUITY","Functional recovery does not imply continuity preservation.","LOCKED"
"F2-CONT-011","CONTINUITY","Reconstructed continuity is distinct from preserved continuity.","LOCKED"
"F2-CONT-012","CONTINUITY","Local continuity does not imply cross-domain continuity.","LOCKED"
"F2-CONT-013","CONTINUITY","A historical break remains historically classified even after later recovery.","LOCKED"
"F2-CONT-014","CONTINUITY","Current preserved state does not imply historically uninterrupted continuity.","LOCKED"
"F2-CONT-015","CONTINUITY","Indeterminate continuity cannot be promoted to preserved.","LOCKED"
"F2-SEP-007","SEPARATION","Finality != Reconciliation != FunctionalRecovery != ContinuityPreserved.","LOCKED"
