"id","antecedent","consequent","status"
"F2-CONT-NI-001","EconomicEndpointEquivalent","ContinuityPreserved_d","LOCKED"
"F2-CONT-NI-002","AtomicComplete","ContinuityPreserved_d","LOCKED"
"F2-CONT-NI-003","SettlementFinal","ContinuityPreserved_d","LOCKED"
"F2-CONT-NI-004","Reconciled","ContinuityPreserved_d","LOCKED"
"F2-CONT-NI-005","CompensationSuccess","ContinuityPreserved_d","LOCKED"
"F2-CONT-NI-006","ReversalSuccess","ContinuityPreserved_d","LOCKED"
"F2-CONT-NI-007","CanonicalBranchSelected","ContinuityPreserved_d","LOCKED"
"F2-CONT-NI-008","FunctionalRecovery","ContinuityPreserved_d","LOCKED"
"F2-CONT-NI-009","LocalContinuity_D1","LocalContinuity_D2","LOCKED"
"F2-CONT-NI-010","LocalContinuity","CrossDomainContinuity","LOCKED"
"F2-CONT-NI-011","Reconstructed","PreservedHistoricalInterval","LOCKED"
"F2-CONT-NI-012","CurrentPreserved","HistoricallyAlwaysPreserved","LOCKED"
