"invariant_id","family","statement","status"
"F2-ADM-001","ADMISSIBILITY","Agreement completeness does not imply distributed admissibility.","LOCKED"
"F2-ADM-002","ADMISSIBILITY","Commitment completeness does not imply distributed admissibility.","LOCKED"
"F2-ADM-003","ADMISSIBILITY","Consensus does not imply distributed admissibility.","LOCKED"
"F2-ADM-004","ADMISSIBILITY","Authority completeness does not imply distributed admissibility.","LOCKED"
"F2-ADM-005","ADMISSIBILITY","Indeterminate admission-critical state cannot be promoted to ADMIT.","LOCKED"
"F2-ADM-006","ADMISSIBILITY","Distributed admissibility does not imply execution.","LOCKED"
"F2-ADM-007","ADMISSIBILITY","Distributed admissibility does not imply settlement finality.","LOCKED"
"F2-LEG-001","EXECUTION-LEG","Every execution leg has a unique canonical identity.","LOCKED"
"F2-LEG-002","EXECUTION-LEG","Dependency does not imply authority inheritance.","LOCKED"
"F2-LEG-003","EXECUTION-LEG","Leg admission does not imply recognized effect.","LOCKED"
"F2-LEG-004","EXECUTION-LEG","Consensus cannot instantiate an execution leg.","LOCKED"
"F2-LEG-005","EXECUTION-LEG","Leg failure does not create repair authority.","LOCKED"
"F2-LEG-006","EXECUTION-LEG","Completed execution legs do not by themselves establish atomic settlement.","LOCKED"
"F2-LEG-007","EXECUTION-LEG","Multi-leg completion does not by itself establish settlement finality.","LOCKED"
"F2-SEP-003","SEPARATION","AuthorityComplete != Consensus != Admissible_d != Execute != EffectOccurred != SettlementFinal.","LOCKED"
