"invariant_id","family","statement","status"
"F2-ATM-001","ATOMICITY","Atomicity is profile-relative.","LOCKED"
"F2-ATM-002","ATOMICITY","Atomic intent does not imply atomic completion.","LOCKED"
"F2-ATM-003","ATOMICITY","Consensus does not imply atomic completion.","LOCKED"
"F2-ATM-004","ATOMICITY","Distributed admissibility does not imply atomic completion.","LOCKED"
"F2-ATM-005","ATOMICITY","Atomic completion does not imply settlement finality.","LOCKED"
"F2-ATM-006","ATOMICITY","Atomic completion does not imply continuity preservation.","LOCKED"
"F2-ATM-007","ATOMICITY","Atomic partiality does not create repair authority.","LOCKED"
"F2-ATM-008","ATOMICITY","Atomic indeterminate is distinct from atomic partial, no-effect, and complete.","LOCKED"
"F2-PARTIAL-001","PARTIAL-DISTRIBUTED","Distributed partial effect maps to inherited F1 PARTIAL rather than redefining it.","LOCKED"
"F2-PARTIAL-002","PARTIAL-DISTRIBUTED","Endpoint economic equivalence does not establish historically atomic execution.","LOCKED"
"F2-PARTIAL-003","PARTIAL-DISTRIBUTED","Compensation following partial distributed settlement is a new consequential execution.","LOCKED"
"F2-PARTIAL-004","PARTIAL-DISTRIBUTED","Reversal does not erase prior partial distributed execution.","LOCKED"
"F2-PARTIAL-005","PARTIAL-DISTRIBUTED","Partiality and conflict are distinct properties.","LOCKED"
"F2-PARTIAL-006","PARTIAL-DISTRIBUTED","Partial distributed settlement does not establish settlement finality.","LOCKED"
"F2-SEP-004","SEPARATION","AtomicIntent != AtomicComplete != SettlementFinal != ContinuityPreserved.","LOCKED"
